0.00000000,0.00000000,0.00000000
0.00306320,0.00024422,0.07956009
0.00612585,0.00048720,0.07916833
0.00918795,0.00072892,0.07877641
0.01224952,0.00096939,0.07838433
0.01531054,0.00120861,0.07799208
0.01837101,0.00144658,0.07759967
0.02143094,0.00168330,0.07720709
0.02449033,0.00191877,0.07681435
0.02754917,0.00215298,0.07642145
0.03060747,0.00238595,0.07602838
0.03366523,0.00261767,0.07563515
0.03672244,0.00284813,0.07524176
0.03977910,0.00307735,0.07484821
0.04283523,0.00330531,0.07445449
0.04589081,0.00353202,0.07406060
0.04894584,0.00375748,0.07366656
0.05200033,0.00398170,0.07327235
0.05505428,0.00420466,0.07287797
0.05810768,0.00442637,0.07248344
0.06116054,0.00464682,0.07208874
0.06421286,0.00486603,0.07169388
0.06726463,0.00508399,0.07129885
0.07031585,0.00530070,0.07090366
0.07336654,0.00551615,0.07050831
0.07641667,0.00573036,0.07011280
0.07946627,0.00594331,0.06971712
0.08251532,0.00615501,0.06932128
0.08556383,0.00636547,0.06892527
0.08861179,0.00657467,0.06852911
0.09165921,0.00678262,0.06813277
0.09470608,0.00698932,0.06773628
0.09775241,0.00719477,0.06733963
0.10079820,0.00739897,0.06694281
0.10384344,0.00760191,0.06654582
0.10688814,0.00780361,0.06614868
0.10993229,0.00800406,0.06575137
0.11297590,0.00820325,0.06535390
0.11601897,0.00840120,0.06495627
0.11906149,0.00859789,0.06455847
0.12210347,0.00879334,0.06416051
0.12514491,0.00898753,0.06376239
0.12818580,0.00918047,0.06336411
0.13122614,0.00937216,0.06296566
0.13426594,0.00956260,0.06256705
0.13730520,0.00975179,0.06216828
0.14034392,0.00993973,0.06176934
0.14338209,0.01012642,0.06137024
0.14641971,0.01031185,0.06097098
0.14945680,0.01049604,0.06057156
0.15249333,0.01067897,0.06017198
0.15552933,0.01086066,0.05977223
0.15856478,0.01104109,0.05937232
0.16159968,0.01122027,0.05897225
0.16463405,0.01139821,0.05857201
0.16766786,0.01157489,0.05817162
0.17070114,0.01175032,0.05777106
0.17373387,0.01192450,0.05737033
0.17676605,0.01209743,0.05696945
